content_id,title,section,url,word_count
doc_001,What is Semantic SEO? A Complete Introduction,/guides,/guides/what-is-semantic-seo,2450
doc_002,The Ultimate Guide to Topical Authority,/guides,/guides/topical-authority-guide,3200
doc_003,Building Topic Clusters That Rank,/guides,/guides/topic-clusters,2800
doc_004,Understanding Search Intent for SEO,/blog,/blog/search-intent-seo,1850
doc_005,E-E-A-T Signals and How to Optimize Them,/blog,/blog/eeat-optimization,2100
doc_006,Internal Linking Strategy for Semantic SEO,/guides,/guides/internal-linking,2650
doc_007,How Knowledge Graphs Impact Search Rankings,/blog,/blog/knowledge-graphs-seo,1950
doc_008,Content Hub Architecture Best Practices,/guides,/guides/content-hub-architecture,2400
doc_009,Semantic Keyword Research Methods,/blog,/blog/semantic-keyword-research,1750
doc_010,Entity-Based SEO: A New Paradigm,/blog,/blog/entity-based-seo,2200
doc_011,Structured Data and Rich Results Guide,/guides,/guides/structured-data-guide,2900
doc_012,Measuring Topical Authority Metrics,/blog,/blog/topical-authority-metrics,1600
doc_013,The Role of NLP in Modern SEO,/blog,/blog/nlp-in-seo,1850
doc_014,Contextual Linking Strategies,/blog,/blog/contextual-linking,1450
doc_015,SEO Glossary: 50 Essential Terms,/glossary,/glossary/seo-terms,3500
